Dimension,Function,Algorithm_A,Algorithm_B,Score_A,Score_B,Score_Sum
10,10,NL-SHADE-LBC,NL-SHADE-RSP-MID,30.0,870.0,900.0
10,10,NL-SHADE-LBC,Co-PPSO,895.0,5.0,900.0
10,10,NL-SHADE-LBC,NLSOMACLP,0.0,900.0,900.0
10,10,S_LSHADE_DP,NL-SHADE-RSP-MID,494.0,406.0,900.0
10,10,S_LSHADE_DP,Co-PPSO,900.0,0.0,900.0
10,10,S_LSHADE_DP,NLSOMACLP,874.0,26.0,900.0
10,10,NL-SHADE-RSP-MID,Co-PPSO,890.0,10.0,900.0
10,10,NL-SHADE-RSP-MID,NLSOMACLP,652.0,248.0,900.0
10,10,Co-PPSO,NLSOMACLP,0.0,900.0,900.0
10,11,PDABC,ABC,750.0,150.0,900.0
10,11,PDABC,ZOCMAES,686.0,214.0,900.0
10,11,PDABC,EA4eigN100_10,900.0,0.0,900.0
10,11,PDABC,NL-SHADE-LBC,900.0,0.0,900.0
10,11,PDABC,S_LSHADE_DP,900.0,0.0,900.0
10,11,PDABC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,11,PDABC,Co-PPSO,900.0,0.0,900.0
10,11,PDABC,NLSOMACLP,900.0,0.0,900.0
10,11,ABC,ZOCMAES,301.0,599.0,900.0
10,11,ABC,EA4eigN100_10,786.0,114.0,900.0
10,11,ABC,NL-SHADE-LBC,216.0,684.0,900.0
10,11,ABC,S_LSHADE_DP,900.0,0.0,900.0
10,11,ABC,NL-SHADE-RSP-MID,565.0,335.0,900.0
10,11,ABC,Co-PPSO,750.0,150.0,900.0
10,11,ABC,NLSOMACLP,900.0,0.0,900.0
10,11,ZOCMAES,EA4eigN100_10,720.0,180.0,900.0
10,11,ZOCMAES,NL-SHADE-LBC,720.0,180.0,900.0
10,11,ZOCMAES,S_LSHADE_DP,720.0,180.0,900.0
10,11,ZOCMAES,NL-SHADE-RSP-MID,720.0,180.0,900.0
10,11,ZOCMAES,Co-PPSO,738.0,162.0,900.0
10,11,ZOCMAES,NLSOMACLP,720.0,180.0,900.0
10,11,EA4eigN100_10,NL-SHADE-LBC,0.0,900.0,900.0
10,11,EA4eigN100_10,S_LSHADE_DP,900.0,0.0,900.0
10,11,EA4eigN100_10,NL-SHADE-RSP-MID,234.0,666.0,900.0
10,11,EA4eigN100_10,Co-PPSO,376.5,523.5,900.0
10,11,EA4eigN100_10,NLSOMACLP,900.0,0.0,900.0
10,11,NL-SHADE-LBC,S_LSHADE_DP,900.0,0.0,900.0
10,11,NL-SHADE-LBC,NL-SHADE-RSP-MID,780.0,120.0,900.0
10,11,NL-SHADE-LBC,Co-PPSO,900.0,0.0,900.0
10,11,NL-SHADE-LBC,NLSOMACLP,900.0,0.0,900.0
10,11,S_LSHADE_DP,NL-SHADE-RSP-MID,46.0,854.0,900.0
10,11,S_LSHADE_DP,Co-PPSO,90.0,810.0,900.0
10,11,S_LSHADE_DP,NLSOMACLP,615.0,285.0,900.0
10,11,NL-SHADE-RSP-MID,Co-PPSO,642.0,258.0,900.0
10,11,NL-SHADE-RSP-MID,NLSOMACLP,862.0,38.0,900.0
10,11,Co-PPSO,NLSOMACLP,810.0,90.0,900.0
10,12,PDABC,ABC,60.0,840.0,900.0
10,12,PDABC,ZOCMAES,900.0,0.0,900.0
10,12,PDABC,EA4eigN100_10,900.0,0.0,900.0
10,12,PDABC,NL-SHADE-LBC,900.0,0.0,900.0
10,12,PDABC,S_LSHADE_DP,900.0,0.0,900.0
10,12,PDABC,NL-SHADE-RSP-MID,900.0,0.0,900.0
